SR CREATE DATE,call_year,call_month,call_day,weatherflag,call_count
2017-05-29,2017,5,29,0,401
2017-05-30,2017,5,30,0,1335
2017-05-31,2017,5,31,0,1126
2017-06-01,2017,6,1,0,1158
2017-06-02,2017,6,2,0,1146
2017-06-03,2017,6,3,0,450
2017-06-04,2017,6,4,1,525
2017-06-05,2017,6,5,0,1353
2017-06-06,2017,6,6,0,1297
2017-06-07,2017,6,7,0,1112
2017-06-08,2017,6,8,0,1075
2017-06-09,2017,6,9,0,1073
2017-06-10,2017,6,10,0,447
2017-06-11,2017,6,11,0,266
2017-06-12,2017,6,12,0,1250
2017-06-13,2017,6,13,0,1231
2017-06-14,2017,6,14,0,1077
2017-06-15,2017,6,15,0,1206
2017-06-16,2017,6,16,0,1100
2017-06-17,2017,6,17,0,350
2017-06-18,2017,6,18,0,410
2017-06-19,2017,6,19,0,1165
2017-06-20,2017,6,20,0,1367
2017-06-21,2017,6,21,1,1216
2017-06-22,2017,6,22,1,1023
2017-06-23,2017,6,23,0,1095
2017-06-24,2017,6,24,1,449
2017-06-25,2017,6,25,1,403
2017-06-26,2017,6,26,0,1313
2017-06-27,2017,6,27,0,1263
2017-06-28,2017,6,28,0,1098
2017-06-29,2017,6,29,0,1113
2017-06-30,2017,6,30,0,1226
2017-07-01,2017,7,1,0,449
2017-07-02,2017,7,2,0,301
2017-07-03,2017,7,3,0,1001
2017-07-04,2017,7,4,0,323
2017-07-05,2017,7,5,0,1264
2017-07-06,2017,7,6,0,1294
2017-07-07,2017,7,7,0,1164
2017-07-08,2017,7,8,0,485
2017-07-09,2017,7,9,1,290
2017-07-10,2017,7,10,0,1359
2017-07-11,2017,7,11,0,1432
2017-07-12,2017,7,12,0,1151
2017-07-13,2017,7,13,0,1305
2017-07-14,2017,7,14,0,1199
2017-07-15,2017,7,15,0,562
2017-07-16,2017,7,16,0,419
2017-07-17,2017,7,17,0,1384
2017-07-18,2017,7,18,0,1255
2017-07-19,2017,7,19,0,1185
2017-07-20,2017,7,20,0,1054
2017-07-21,2017,7,21,0,1141
2017-07-22,2017,7,22,0,460
2017-07-23,2017,7,23,0,332
2017-07-24,2017,7,24,0,1284
2017-07-25,2017,7,25,0,1271
2017-07-26,2017,7,26,0,1111
2017-07-27,2017,7,27,0,1059
2017-07-28,2017,7,28,0,1161
2017-07-29,2017,7,29,0,424
2017-07-30,2017,7,30,0,254
2017-07-31,2017,7,31,0,1358
2017-08-01,2017,8,1,0,1199
2017-08-02,2017,8,2,0,1157
2017-08-03,2017,8,3,0,1139
2017-08-04,2017,8,4,0,1228
2017-08-05,2017,8,5,0,450
2017-08-06,2017,8,6,0,302
2017-08-07,2017,8,7,0,1181
2017-08-08,2017,8,8,0,1555
2017-08-09,2017,8,9,0,1302
2017-08-10,2017,8,10,0,1190
2017-08-11,2017,8,11,0,1097
2017-08-12,2017,8,12,0,451
2017-08-13,2017,8,13,0,283
2017-08-14,2017,8,14,0,1312
2017-08-15,2017,8,15,0,1389
2017-08-16,2017,8,16,0,1102
2017-08-17,2017,8,17,0,1138
2017-08-18,2017,8,18,0,1219
2017-08-19,2017,8,19,0,435
2017-08-20,2017,8,20,0,290
2017-08-21,2017,8,21,1,1210
2017-08-22,2017,8,22,0,1305
2017-08-23,2017,8,23,0,1248
2017-08-24,2017,8,24,0,1193
2017-08-25,2017,8,25,0,838
2017-08-26,2017,8,26,1,1251
2017-08-27,2017,8,27,1,1495
2017-08-28,2017,8,28,1,781
2017-08-29,2017,8,29,1,792
2017-08-30,2017,8,30,1,1336
2017-08-31,2017,8,31,1,1493
2017-09-01,2017,9,1,0,1581
2017-09-02,2017,9,2,0,911
2017-09-03,2017,9,3,0,736
2017-09-04,2017,9,4,0,905
2017-09-05,2017,9,5,0,1598
2017-09-06,2017,9,6,0,1776
2017-09-07,2017,9,7,0,1798
2017-09-08,2017,9,8,0,2028
2017-09-09,2017,9,9,0,721
2017-09-10,2017,9,10,0,506
2017-09-11,2017,9,11,1,1792
2017-09-12,2017,9,12,0,2293
2017-09-13,2017,9,13,0,1943
2017-09-14,2017,9,14,0,1832
2017-09-15,2017,9,15,0,1897
2017-09-16,2017,9,16,0,865
2017-09-17,2017,9,17,0,651
2017-09-18,2017,9,18,1,2156
2017-09-19,2017,9,19,0,2270
2017-09-20,2017,9,20,1,1874
2017-09-21,2017,9,21,1,1685
2017-09-22,2017,9,22,0,1516
2017-09-23,2017,9,23,0,639
2017-09-24,2017,9,24,0,436
2017-09-25,2017,9,25,0,1583
2017-09-26,2017,9,26,0,1645
2017-09-27,2017,9,27,0,1359
2017-09-28,2017,9,28,0,1329
2017-09-29,2017,9,29,0,1166
2017-09-30,2017,9,30,0,473
2017-10-01,2017,10,1,0,368
2017-10-02,2017,10,2,0,1376
2017-10-03,2017,10,3,0,1283
2017-10-04,2017,10,4,0,1254
2017-10-05,2017,10,5,0,1217
2017-10-06,2017,10,6,0,977
2017-10-07,2017,10,7,0,382
2017-10-08,2017,10,8,0,247
2017-10-09,2017,10,9,0,1237
2017-10-10,2017,10,10,0,1179
2017-10-11,2017,10,11,0,1005
2017-10-12,2017,10,12,0,1020
2017-10-13,2017,10,13,0,1128
2017-10-14,2017,10,14,0,353
2017-10-15,2017,10,15,0,300
2017-10-16,2017,10,16,0,1217
2017-10-17,2017,10,17,0,1207
2017-10-18,2017,10,18,0,921
2017-10-19,2017,10,19,0,961
2017-10-20,2017,10,20,1,953
2017-10-21,2017,10,21,0,382
2017-10-22,2017,10,22,0,295
2017-10-23,2017,10,23,0,1007
2017-10-24,2017,10,24,0,1210
2017-10-25,2017,10,25,0,1007
2017-10-26,2017,10,26,0,892
2017-10-27,2017,10,27,0,969
2017-10-28,2017,10,28,0,315
2017-10-29,2017,10,29,0,171
2017-10-30,2017,10,30,0,1042
2017-10-31,2017,10,31,0,1059
2017-11-01,2017,11,1,0,868
2017-11-02,2017,11,2,0,899
2017-11-03,2017,11,3,0,828
2017-11-04,2017,11,4,0,325
2017-11-05,2017,11,5,0,256
2017-11-06,2017,11,6,0,1056
2017-11-07,2017,11,7,0,1092
2017-11-08,2017,11,8,0,994
2017-11-09,2017,11,9,0,920
2017-11-10,2017,11,10,0,657
2017-11-11,2017,11,11,0,309
2017-11-12,2017,11,12,0,195
2017-11-13,2017,11,13,0,1039
2017-11-14,2017,11,14,0,768
2017-11-15,2017,11,15,0,1180
2017-11-16,2017,11,16,0,953
2017-11-17,2017,11,17,0,959
2017-11-18,2017,11,18,0,441
2017-11-19,2017,11,19,0,195
2017-11-20,2017,11,20,0,968
2017-11-21,2017,11,21,0,1194
2017-11-22,2017,11,22,0,736
2017-11-23,2017,11,23,0,183
2017-11-24,2017,11,24,0,547
2017-11-25,2017,11,25,0,482
2017-11-26,2017,11,26,0,366
2017-11-27,2017,11,27,0,1138
2017-11-28,2017,11,28,0,1313
2017-11-29,2017,11,29,0,1106
2017-11-30,2017,11,30,0,993
2017-12-01,2017,12,1,0,976
2017-12-02,2017,12,2,0,345
2017-12-03,2017,12,3,0,314
2017-12-04,2017,12,4,0,1246
2017-12-05,2017,12,5,0,1124
2017-12-06,2017,12,6,0,868
2017-12-07,2017,12,7,1,738
2017-12-08,2017,12,8,1,773
2017-12-09,2017,12,9,0,397
2017-12-10,2017,12,10,0,305
2017-12-11,2017,12,11,0,1065
2017-12-12,2017,12,12,0,1131
2017-12-13,2017,12,13,0,1020
2017-12-14,2017,12,14,0,917
2017-12-15,2017,12,15,0,788
2017-12-16,2017,12,16,0,318
2017-12-17,2017,12,17,0,281
2017-12-18,2017,12,18,0,1142
2017-12-19,2017,12,19,0,1111
2017-12-20,2017,12,20,0,939
2017-12-21,2017,12,21,0,841
2017-12-22,2017,12,22,0,574
2017-12-23,2017,12,23,0,312
2017-12-24,2017,12,24,0,335
2017-12-25,2017,12,25,0,105
2017-12-26,2017,12,26,0,915
2017-12-27,2017,12,27,0,813
2017-12-28,2017,12,28,0,953
2017-12-29,2017,12,29,0,818
2017-12-30,2017,12,30,0,421
2017-12-31,2017,12,31,0,290
2018-01-01,2018,1,1,0,210
2018-01-02,2018,1,2,1,976
2018-01-03,2018,1,3,0,1285
2018-01-04,2018,1,4,0,1365
2018-01-05,2018,1,5,0,1326
2018-01-06,2018,1,6,0,472
2018-01-07,2018,1,7,0,322
2018-01-08,2018,1,8,0,1419
2018-01-09,2018,1,9,0,1369
2018-01-10,2018,1,10,0,1159
2018-01-11,2018,1,11,1,1131
2018-01-12,2018,1,12,0,1076
2018-01-13,2018,1,13,0,397
2018-01-14,2018,1,14,0,331
2018-01-15,2018,1,15,0,656
2018-01-16,2018,1,16,1,487
2018-01-17,2018,1,17,1,1401
2018-01-18,2018,1,18,0,1652
2018-01-19,2018,1,19,0,1290
2018-01-20,2018,1,20,0,240
2018-01-21,2018,1,21,0,523
2018-01-22,2018,1,22,0,1398
2018-01-23,2018,1,23,0,1462
2018-01-24,2018,1,24,0,1416
2018-01-25,2018,1,25,0,1267
2018-01-26,2018,1,26,0,1282
2018-01-27,2018,1,27,0,398
2018-01-28,2018,1,28,0,327
2018-01-29,2018,1,29,0,1363
2018-01-30,2018,1,30,0,1582
2018-01-31,2018,1,31,0,1306
2018-02-01,2018,2,1,0,1175
2018-02-02,2018,2,2,0,896
2018-02-03,2018,2,3,0,408
2018-02-04,2018,2,4,0,299
2018-02-05,2018,2,5,0,1254
