SR CREATE DATE,SR TYPE,count_sr_type,rank_no,call_year,call_month,call_day
2017-06-18,Heavy Trash Violation,97,1,2017,6,18
2017-06-18,Nuisance On Property,35,2,2017,6,18
2017-06-18,Trash Dumping or Illegal Dumpsite,31,3,2017,6,18
2017-06-19,Nuisance On Property,109,1,2017,6,19
2017-06-19,Container Problem,98,2,2017,6,19
2017-06-19,Water Leak,74,3,2017,6,19
2017-06-20,Nuisance On Property,137,1,2017,6,20
2017-06-20,Missed Garbage Pickup,132,2,2017,6,20
2017-06-20,Container Problem,104,3,2017,6,20
2017-06-21,Nuisance On Property,84,1,2017,6,21
2017-06-21,Missed Garbage Pickup,74,2,2017,6,21
2017-06-21,Container Problem,72,3,2017,6,21
2017-06-22,Container Problem,100,1,2017,6,22
2017-06-22,Missed Garbage Pickup,82,2,2017,6,22
2017-06-22,Nuisance On Property,73,3,2017,6,22
2017-06-23,Missed Garbage Pickup,175,1,2017,6,23
2017-06-23,Container Problem,90,2,2017,6,23
2017-06-23,Nuisance On Property,67,3,2017,6,23
2017-06-24,Water Service,57,1,2017,6,24
2017-06-24,Missed Garbage Pickup,56,2,2017,6,24
2017-06-24,Sewer Wastewater,30,3,2017,6,24
2017-06-25,Water Leak,47,1,2017,6,25
2017-06-25,Traffic Signal Maintenance,47,2,2017,6,25
2017-06-25,Nuisance On Property,44,3,2017,6,25
2017-06-26,Container Problem,101,1,2017,6,26
2017-06-26,Missed Garbage Pickup,93,2,2017,6,26
2017-06-26,Nuisance On Property,86,3,2017,6,26
2017-06-27,Nuisance On Property,110,1,2017,6,27
2017-06-27,Missed Garbage Pickup,104,2,2017,6,27
2017-06-27,Container Problem,84,3,2017,6,27
2017-06-28,Nuisance On Property,107,1,2017,6,28
2017-06-28,Missed Recycling Pickup,86,2,2017,6,28
2017-06-28,Sewer Wastewater,59,3,2017,6,28
2017-06-29,Missed Garbage Pickup,105,1,2017,6,29
2017-06-29,Nuisance On Property,96,2,2017,6,29
2017-06-29,Container Problem,84,3,2017,6,29
2017-06-30,Missed Garbage Pickup,116,1,2017,6,30
2017-06-30,Nuisance On Property,114,2,2017,6,30
2017-06-30,Container Problem,77,3,2017,6,30
2017-07-01,Water Leak,46,1,2017,7,1
2017-07-01,Nuisance On Property,32,2,2017,7,1
2017-07-01,Missed Garbage Pickup,29,3,2017,7,1
2017-07-02,Water Leak,29,1,2017,7,2
2017-07-02,Nuisance On Property,28,2,2017,7,2
2017-07-02,Unclassified 311 Web Request,21,3,2017,7,2
2017-07-03,Container Problem,90,1,2017,7,3
2017-07-03,Nuisance On Property,74,2,2017,7,3
2017-07-03,Sewer Wastewater,74,3,2017,7,3
2017-07-04,Nuisance On Property,33,1,2017,7,4
2017-07-04,Pothole,24,2,2017,7,4
2017-07-04,Water Leak,20,3,2017,7,4
2017-07-05,Nuisance On Property,136,1,2017,7,5
2017-07-05,Container Problem,90,2,2017,7,5
2017-07-05,Missed Garbage Pickup,89,3,2017,7,5
2017-07-06,Nuisance On Property,176,1,2017,7,6
2017-07-06,Missed Garbage Pickup,102,2,2017,7,6
2017-07-06,Container Problem,93,3,2017,7,6
2017-07-07,Nuisance On Property,101,1,2017,7,7
2017-07-07,Missed Garbage Pickup,94,2,2017,7,7
2017-07-07,Container Problem,91,3,2017,7,7
2017-07-08,Missed Garbage Pickup,41,1,2017,7,8
2017-07-08,Traffic Signal Maintenance,36,2,2017,7,8
2017-07-08,Sewer Wastewater,35,3,2017,7,8
2017-07-09,Traffic Signal Maintenance,42,1,2017,7,9
2017-07-09,Water Leak,36,2,2017,7,9
2017-07-09,Street Hazard,18,3,2017,7,9
2017-07-10,Nuisance On Property,120,1,2017,7,10
2017-07-10,Container Problem,110,2,2017,7,10
2017-07-10,Traffic Signal Maintenance,85,3,2017,7,10
2017-07-11,Missed Garbage Pickup,156,1,2017,7,11
2017-07-11,Nuisance On Property,122,2,2017,7,11
2017-07-11,Container Problem,109,3,2017,7,11
2017-07-12,Nuisance On Property,92,1,2017,7,12
2017-07-12,Missed Recycling Pickup,68,2,2017,7,12
2017-07-12,Container Problem,60,3,2017,7,12
2017-07-13,Nuisance On Property,161,1,2017,7,13
2017-07-13,Container Problem,82,2,2017,7,13
2017-07-13,Missed Garbage Pickup,77,3,2017,7,13
2017-07-14,Nuisance On Property,180,1,2017,7,14
2017-07-14,Missed Garbage Pickup,106,2,2017,7,14
2017-07-14,Missed Recycling Pickup,97,3,2017,7,14
2017-07-15,Traffic Signal Maintenance,98,1,2017,7,15
2017-07-15,Street Hazard,58,2,2017,7,15
2017-07-15,Missed Garbage Pickup,34,3,2017,7,15
2017-07-16,Traffic Signal Maintenance,50,1,2017,7,16
2017-07-16,Water Leak,41,2,2017,7,16
2017-07-16,Nuisance On Property,35,3,2017,7,16
2017-07-17,Nuisance On Property,166,1,2017,7,17
2017-07-17,Container Problem,116,2,2017,7,17
2017-07-17,Sewer Wastewater,80,3,2017,7,17
2017-07-18,Container Problem,114,1,2017,7,18
2017-07-18,Nuisance On Property,102,2,2017,7,18
2017-07-18,Missed Garbage Pickup,100,3,2017,7,18
2017-07-19,Nuisance On Property,79,1,2017,7,19
2017-07-19,Missed Garbage Pickup,78,2,2017,7,19
2017-07-19,Traffic Signal Maintenance,73,3,2017,7,19
2017-07-20,Nuisance On Property,84,1,2017,7,20
2017-07-20,Container Problem,76,2,2017,7,20
2017-07-20,Missed Garbage Pickup,71,3,2017,7,20
2017-07-21,Missed Recycling Pickup,103,1,2017,7,21
2017-07-21,Container Problem,93,2,2017,7,21
2017-07-21,Missed Garbage Pickup,92,3,2017,7,21
2017-07-22,Missed Garbage Pickup,45,1,2017,7,22
2017-07-22,Nuisance On Property,42,2,2017,7,22
2017-07-22,Traffic Signal Maintenance,36,3,2017,7,22
2017-07-23,Heavy Trash Violation,76,1,2017,7,23
2017-07-23,Nuisance On Property,30,2,2017,7,23
2017-07-23,Traffic Signal Maintenance,24,3,2017,7,23
2017-07-24,Nuisance On Property,106,1,2017,7,24
2017-07-24,Container Problem,104,2,2017,7,24
2017-07-24,Water Leak,79,3,2017,7,24
2017-07-25,Missed Garbage Pickup,123,1,2017,7,25
2017-07-25,Missed Recycling Pickup,106,2,2017,7,25
2017-07-25,Container Problem,104,3,2017,7,25
2017-07-26,Missed Recycling Pickup,107,1,2017,7,26
2017-07-26,Nuisance On Property,90,2,2017,7,26
2017-07-26,Water Leak,67,3,2017,7,26
2017-07-27,Nuisance On Property,90,1,2017,7,27
2017-07-27,Container Problem,77,2,2017,7,27
2017-07-27,Water Leak,61,3,2017,7,27
2017-07-28,Missed Garbage Pickup,116,1,2017,7,28
2017-07-28,Container Problem,85,2,2017,7,28
2017-07-28,Water Leak,71,3,2017,7,28
2017-07-29,Water Leak,40,1,2017,7,29
2017-07-29,Traffic Signal Maintenance,29,2,2017,7,29
2017-07-29,Nuisance On Property,27,3,2017,7,29
2017-07-30,Water Leak,45,1,2017,7,30
2017-07-30,Sewer Wastewater,21,2,2017,7,30
2017-07-30,Nuisance On Property,18,3,2017,7,30
2017-07-31,Water Leak,111,1,2017,7,31
2017-07-31,Container Problem,91,2,2017,7,31
2017-07-31,Nuisance On Property,89,3,2017,7,31
2017-08-01,Container Problem,97,1,2017,8,1
2017-08-01,Nuisance On Property,93,2,2017,8,1
2017-08-01,Water Leak,78,3,2017,8,1
2017-08-02,Nuisance On Property,88,1,2017,8,2
2017-08-02,Heavy Trash Violation,63,2,2017,8,2
2017-08-02,Container Problem,63,3,2017,8,2
2017-08-03,Water Leak,114,1,2017,8,3
2017-08-03,Nuisance On Property,89,2,2017,8,3
2017-08-03,Container Problem,72,3,2017,8,3
2017-08-04,Missed Garbage Pickup,109,1,2017,8,4
2017-08-04,Heavy Trash Violation,106,2,2017,8,4
2017-08-04,Container Problem,93,3,2017,8,4
2017-08-05,Water Leak,44,1,2017,8,5
2017-08-05,Traffic Signal Maintenance,40,2,2017,8,5
2017-08-05,Missed Garbage Pickup,30,3,2017,8,5
2017-08-06,Water Leak,40,1,2017,8,6
2017-08-06,Water Service,29,2,2017,8,6
2017-08-06,Nuisance On Property,23,3,2017,8,6
2017-08-07,Nuisance On Property,96,1,2017,8,7
2017-08-07,Container Problem,96,2,2017,8,7
2017-08-07,Water Leak,84,3,2017,8,7
2017-08-08,Container Problem,152,1,2017,8,8
2017-08-08,Missed Garbage Pickup,147,2,2017,8,8
2017-08-08,Street Hazard,102,3,2017,8,8
2017-08-09,Nuisance On Property,86,1,2017,8,9
2017-08-09,Container Problem,84,2,2017,8,9
2017-08-09,Water Leak,80,3,2017,8,9
2017-08-10,Container Problem,100,1,2017,8,10
2017-08-10,Nuisance On Property,77,2,2017,8,10
2017-08-10,Missed Garbage Pickup,71,3,2017,8,10
2017-08-11,Missed Garbage Pickup,90,1,2017,8,11
2017-08-11,Water Leak,78,2,2017,8,11
2017-08-11,Container Problem,74,3,2017,8,11
2017-08-12,Water Leak,39,1,2017,8,12
2017-08-12,Sewer Wastewater,38,2,2017,8,12
2017-08-12,Missed Recycling Pickup,37,3,2017,8,12
2017-08-13,Water Leak,36,1,2017,8,13
2017-08-13,Nuisance On Property,28,2,2017,8,13
2017-08-13,Sewer Wastewater,21,3,2017,8,13
2017-08-14,Nuisance On Property,99,1,2017,8,14
2017-08-14,Container Problem,95,2,2017,8,14
2017-08-14,Water Leak,86,3,2017,8,14
2017-08-15,Container Problem,118,1,2017,8,15
2017-08-15,Missed Garbage Pickup,110,2,2017,8,15
2017-08-15,Nuisance On Property,107,3,2017,8,15
2017-08-16,Container Problem,79,1,2017,8,16
2017-08-16,Water Leak,77,2,2017,8,16
2017-08-16,Nuisance On Property,76,3,2017,8,16
2017-08-17,Water Leak,100,1,2017,8,17
2017-08-17,Container Problem,73,2,2017,8,17
2017-08-17,Missed Garbage Pickup,71,3,2017,8,17
2017-08-18,Missed Garbage Pickup,125,1,2017,8,18
2017-08-18,Container Problem,93,2,2017,8,18
2017-08-18,Water Leak,80,3,2017,8,18
2017-08-19,Water Leak,50,1,2017,8,19
2017-08-19,Missed Recycling Pickup,36,2,2017,8,19
2017-08-19,Missed Garbage Pickup,35,3,2017,8,19
2017-08-20,Water Leak,63,1,2017,8,20
2017-08-20,Sewer Wastewater,22,2,2017,8,20
2017-08-20,Street Hazard,17,3,2017,8,20
2017-08-21,Container Problem,126,1,2017,8,21
2017-08-21,Water Leak,92,2,2017,8,21
2017-08-21,Nuisance On Property,91,3,2017,8,21
2017-08-22,Container Problem,104,1,2017,8,22
2017-08-22,Missed Garbage Pickup,104,2,2017,8,22
2017-08-22,Water Leak,87,3,2017,8,22
2017-08-23,Water Leak,109,1,2017,8,23
2017-08-23,Drainage,97,2,2017,8,23
2017-08-23,Nuisance On Property,63,3,2017,8,23
2017-08-24,Drainage,135,1,2017,8,24
2017-08-24,Water Leak,120,2,2017,8,24
2017-08-24,Container Problem,63,3,2017,8,24
2017-08-25,Drainage,94,1,2017,8,25
2017-08-25,Missed Garbage Pickup,88,2,2017,8,25
2017-08-25,Street Hazard,66,3,2017,8,25
2017-08-26,Flooding,199,1,2017,8,26
2017-08-26,Traffic Signal Maintenance,161,2,2017,8,26
2017-08-26,Drainage,161,3,2017,8,26
2017-08-27,Flooding,581,1,2017,8,27
2017-08-27,Crisis Cleanup,260,2,2017,8,27
2017-08-27,Medical Evacuation,135,3,2017,8,27
2017-08-28,Flooding,151,1,2017,8,28
2017-08-28,Street Hazard,108,2,2017,8,28
2017-08-28,Medical Evacuation,99,3,2017,8,28
2017-08-29,Street Hazard,112,1,2017,8,29
2017-08-29,Flooding,108,2,2017,8,29
2017-08-29,Traffic Signal Maintenance,84,3,2017,8,29
2017-08-30,Traffic Signal Maintenance,192,1,2017,8,30
2017-08-30,Container Problem,146,2,2017,8,30
2017-08-30,Storm Debris Collection,125,3,2017,8,30
2017-08-31,Storm Debris Collection,209,1,2017,8,31
2017-08-31,Traffic Signal Maintenance,181,2,2017,8,31
2017-08-31,Container Problem,177,3,2017,8,31
2017-09-01,Storm Debris Collection,221,1,2017,9,1
2017-09-01,Container Problem,194,2,2017,9,1
2017-09-01,Traffic Signal Maintenance,143,3,2017,9,1
2017-09-02,Traffic Signal Maintenance,146,1,2017,9,2
2017-09-02,Storm Debris Collection,140,2,2017,9,2
2017-09-02,Sewer Wastewater,93,3,2017,9,2
2017-09-03,Traffic Signal Maintenance,141,1,2017,9,3
2017-09-03,Storm Debris Collection,89,2,2017,9,3
2017-09-03,Water Leak,74,3,2017,9,3
2017-09-04,Storm Debris Collection,186,1,2017,9,4
2017-09-04,Sewer Wastewater,83,2,2017,9,4
2017-09-04,Container Problem,79,3,2017,9,4
2017-09-05,Container Problem,177,1,2017,9,5
2017-09-05,Storm Debris Collection,169,2,2017,9,5
2017-09-05,Traffic Signal Maintenance,139,3,2017,9,5
2017-09-06,Missed Garbage Pickup,354,1,2017,9,6
2017-09-06,Container Problem,204,2,2017,9,6
2017-09-06,Storm Debris Collection,185,3,2017,9,6
2017-09-07,Missed Garbage Pickup,392,1,2017,9,7
2017-09-07,Storm Debris Collection,192,2,2017,9,7
2017-09-07,Container Problem,162,3,2017,9,7
2017-09-08,Flooding,428,1,2017,9,8
2017-09-08,Missed Garbage Pickup,361,2,2017,9,8
2017-09-08,Storm Debris Collection,156,3,2017,9,8
2017-09-09,Storm Debris Collection,106,1,2017,9,9
2017-09-09,Missed Garbage Pickup,85,2,2017,9,9
2017-09-09,Container Problem,61,3,2017,9,9
2017-09-10,Storm Debris Collection,83,1,2017,9,10
2017-09-10,Traffic Signal Maintenance,52,2,2017,9,10
2017-09-10,Flooding,50,3,2017,9,10
2017-09-11,Storm Debris Collection,312,1,2017,9,11
2017-09-11,Flooding,191,2,2017,9,11
2017-09-11,Container Problem,167,3,2017,9,11
2017-09-12,Flooding,500,1,2017,9,12
2017-09-12,Storm Debris Collection,302,2,2017,9,12
2017-09-12,Container Problem,176,3,2017,9,12
2017-09-13,Storm Debris Collection,365,1,2017,9,13
2017-09-13,Flooding,233,2,2017,9,13
2017-09-13,Traffic Signal Maintenance,142,3,2017,9,13
2017-09-14,Storm Debris Collection,470,1,2017,9,14
2017-09-14,Flooding,175,2,2017,9,14
2017-09-14,Container Problem,121,3,2017,9,14
2017-09-15,Storm Debris Collection,593,1,2017,9,15
2017-09-15,Flooding,163,2,2017,9,15
2017-09-15,Missed Garbage Pickup,116,3,2017,9,15
2017-09-16,Storm Debris Collection,284,1,2017,9,16
2017-09-16,Missed Garbage Pickup,69,2,2017,9,16
2017-09-16,Unclassified 311 Web Request,48,3,2017,9,16
2017-09-17,Storm Debris Collection,213,1,2017,9,17
2017-09-17,Flooding,52,2,2017,9,17
2017-09-17,Traffic Signal Maintenance,41,3,2017,9,17
2017-09-18,Storm Debris Collection,438,1,2017,9,18
2017-09-18,Flooding,166,2,2017,9,18
2017-09-18,Traffic Signal Maintenance,162,3,2017,9,18
2017-09-19,Storm Debris Collection,506,1,2017,9,19
2017-09-19,Flooding,229,2,2017,9,19
2017-09-19,Missed Garbage Pickup,190,3,2017,9,19
2017-09-20,Storm Debris Collection,521,1,2017,9,20
2017-09-20,Missed Garbage Pickup,146,2,2017,9,20
2017-09-20,Traffic Signal Maintenance,106,3,2017,9,20
2017-09-21,Storm Debris Collection,319,1,2017,9,21
2017-09-21,Missed Garbage Pickup,117,2,2017,9,21
2017-09-21,Container Problem,110,3,2017,9,21
2017-09-22,Storm Debris Collection,339,1,2017,9,22
2017-09-22,Missed Garbage Pickup,135,2,2017,9,22
2017-09-22,Container Problem,114,3,2017,9,22
2017-09-23,Storm Debris Collection,141,1,2017,9,23
2017-09-23,Water Leak,65,2,2017,9,23
2017-09-23,Missed Garbage Pickup,50,3,2017,9,23
2017-09-24,Storm Debris Collection,104,1,2017,9,24
2017-09-24,Water Leak,47,2,2017,9,24
2017-09-24,Sewer Wastewater,37,3,2017,9,24
2017-09-25,Storm Debris Collection,310,1,2017,9,25
2017-09-25,Container Problem,115,2,2017,9,25
2017-09-25,Water Leak,101,3,2017,9,25
2017-09-26,Storm Debris Collection,326,1,2017,9,26
2017-09-26,Missed Garbage Pickup,143,2,2017,9,26
2017-09-26,Container Problem,139,3,2017,9,26
2017-09-27,Storm Debris Collection,242,1,2017,9,27
2017-09-27,Container Problem,85,2,2017,9,27
2017-09-27,Water Leak,80,3,2017,9,27
2017-09-28,Storm Debris Collection,167,1,2017,9,28
2017-09-28,Container Problem,108,2,2017,9,28
2017-09-28,Missed Garbage Pickup,97,3,2017,9,28
2017-09-29,Storm Debris Collection,172,1,2017,9,29
2017-09-29,Missed Garbage Pickup,131,2,2017,9,29
2017-09-29,Water Leak,86,3,2017,9,29
2017-09-30,Storm Debris Collection,64,1,2017,9,30
2017-09-30,Missed Garbage Pickup,46,2,2017,9,30
2017-09-30,Traffic Signal Maintenance,46,3,2017,9,30
2017-10-01,Storm Debris Collection,65,1,2017,10,1
2017-10-01,Traffic Signal Maintenance,27,2,2017,10,1
2017-10-01,Sewer Wastewater,23,3,2017,10,1
2017-10-02,Storm Debris Collection,190,1,2017,10,2
2017-10-02,Missed Garbage Pickup,109,2,2017,10,2
2017-10-02,Container Problem,103,3,2017,10,2
2017-10-03,Storm Debris Collection,231,1,2017,10,3
2017-10-03,Missed Garbage Pickup,134,2,2017,10,3
2017-10-03,Container Problem,97,3,2017,10,3
2017-10-04,Storm Debris Collection,190,1,2017,10,4
2017-10-04,Container Problem,99,2,2017,10,4
2017-10-04,Missed Garbage Pickup,99,3,2017,10,4
2017-10-05,Storm Debris Collection,162,1,2017,10,5
2017-10-05,Container Problem,125,2,2017,10,5
2017-10-05,Missed Garbage Pickup,90,3,2017,10,5
2017-10-06,Missed Garbage Pickup,116,1,2017,10,6
2017-10-06,Container Problem,88,2,2017,10,6
2017-10-06,Storm Debris Collection,85,3,2017,10,6
2017-10-07,Water Leak,43,1,2017,10,7
2017-10-07,Sewer Wastewater,32,2,2017,10,7
2017-10-07,Container Problem,27,3,2017,10,7
2017-10-08,Water Leak,30,1,2017,10,8
2017-10-08,Sewer Wastewater,23,2,2017,10,8
2017-10-08,Dead Animal Collection,14,3,2017,10,8
2017-10-09,Container Problem,107,1,2017,10,9
2017-10-09,Water Leak,95,2,2017,10,9
2017-10-09,Missed Garbage Pickup,94,3,2017,10,9
2017-10-10,Container Problem,114,1,2017,10,10
2017-10-10,Missed Garbage Pickup,110,2,2017,10,10
2017-10-10,Water Leak,93,3,2017,10,10
2017-10-11,Container Problem,74,1,2017,10,11
2017-10-11,Water Leak,71,2,2017,10,11
2017-10-11,Sewer Wastewater,65,3,2017,10,11
2017-10-12,Missed Garbage Pickup,93,1,2017,10,12
2017-10-12,Water Leak,87,2,2017,10,12
2017-10-12,Container Problem,86,3,2017,10,12
2017-10-13,Missed Garbage Pickup,110,1,2017,10,13
2017-10-13,Container Problem,94,2,2017,10,13
2017-10-13,Water Leak,87,3,2017,10,13
2017-10-14,Sewer Wastewater,34,1,2017,10,14
2017-10-14,Missed Garbage Pickup,30,2,2017,10,14
2017-10-14,Water Leak,21,3,2017,10,14
2017-10-15,Traffic Signal Maintenance,26,1,2017,10,15
2017-10-15,Water Leak,26,2,2017,10,15
2017-10-15,Sewer Wastewater,25,3,2017,10,15
2017-10-16,Container Problem,138,1,2017,10,16
2017-10-16,Water Leak,84,2,2017,10,16
2017-10-16,Missed Garbage Pickup,78,3,2017,10,16
2017-10-17,Missed Garbage Pickup,132,1,2017,10,17
2017-10-17,Container Problem,112,2,2017,10,17
2017-10-17,Water Leak,79,3,2017,10,17
2017-10-18,Missed Garbage Pickup,81,1,2017,10,18
2017-10-18,Water Leak,76,2,2017,10,18
2017-10-18,Container Problem,74,3,2017,10,18
2017-10-19,Water Leak,119,1,2017,10,19
2017-10-19,Container Problem,86,2,2017,10,19
2017-10-19,Missed Garbage Pickup,80,3,2017,10,19
2017-10-20,Water Leak,95,1,2017,10,20
2017-10-20,Container Problem,92,2,2017,10,20
2017-10-20,Missed Garbage Pickup,83,3,2017,10,20
2017-10-21,Water Leak,46,1,2017,10,21
2017-10-21,Sewer Wastewater,39,2,2017,10,21
2017-10-21,Missed Garbage Pickup,33,3,2017,10,21
2017-10-22,Traffic Signal Maintenance,83,1,2017,10,22
2017-10-22,Sewer Wastewater,25,2,2017,10,22
2017-10-22,Water Leak,23,3,2017,10,22
2017-10-23,Container Problem,119,1,2017,10,23
2017-10-23,Sewer Wastewater,97,2,2017,10,23
2017-10-23,Missed Garbage Pickup,76,3,2017,10,23
2017-10-24,Missed Garbage Pickup,122,1,2017,10,24
2017-10-24,Container Problem,119,2,2017,10,24
2017-10-24,Sewer Wastewater,78,3,2017,10,24
2017-10-25,Water Leak,84,1,2017,10,25
2017-10-25,Container Problem,82,2,2017,10,25
2017-10-25,Traffic Signal Maintenance,70,3,2017,10,25
2017-10-26,Container Problem,83,1,2017,10,26
2017-10-26,Missed Garbage Pickup,77,2,2017,10,26
2017-10-26,Water Leak,72,3,2017,10,26
2017-10-27,Storm Debris Collection,117,1,2017,10,27
2017-10-27,Missed Garbage Pickup,98,2,2017,10,27
2017-10-27,Container Problem,83,3,2017,10,27
2017-10-28,Traffic Signal Maintenance,41,1,2017,10,28
2017-10-28,Sewer Wastewater,37,2,2017,10,28
2017-10-28,Missed Garbage Pickup,34,3,2017,10,28
2017-10-29,Traffic Signal Maintenance,36,1,2017,10,29
2017-10-29,Water Leak,18,2,2017,10,29
2017-10-29,Sewer Wastewater,18,3,2017,10,29
2017-10-30,Water Leak,96,1,2017,10,30
2017-10-30,Missed Garbage Pickup,89,2,2017,10,30
2017-10-30,Container Problem,88,3,2017,10,30
2017-10-31,Missed Garbage Pickup,123,1,2017,10,31
2017-10-31,Container Problem,96,2,2017,10,31
2017-10-31,Water Leak,86,3,2017,10,31
2017-11-01,Sewer Wastewater,68,1,2017,11,1
2017-11-01,Traffic Signal Maintenance,62,2,2017,11,1
2017-11-01,Water Leak,61,3,2017,11,1
2017-11-02,Container Problem,91,1,2017,11,2
2017-11-02,Missed Garbage Pickup,73,2,2017,11,2
2017-11-02,Sewer Wastewater,73,3,2017,11,2
2017-11-03,Missed Garbage Pickup,86,1,2017,11,3
2017-11-03,Container Problem,83,2,2017,11,3
2017-11-03,Water Leak,74,3,2017,11,3
2017-11-04,Sewer Wastewater,38,1,2017,11,4
2017-11-04,Missed Garbage Pickup,37,2,2017,11,4
2017-11-04,Water Leak,34,3,2017,11,4
2017-11-05,Water Leak,37,1,2017,11,5
2017-11-05,Traffic Signal Maintenance,29,2,2017,11,5
2017-11-05,Sewer Wastewater,26,3,2017,11,5
2017-11-06,Container Problem,97,1,2017,11,6
2017-11-06,Water Leak,89,2,2017,11,6
2017-11-06,Missed Garbage Pickup,86,3,2017,11,6
2017-11-07,Missed Garbage Pickup,149,1,2017,11,7
2017-11-07,Container Problem,133,2,2017,11,7
2017-11-07,Water Leak,70,3,2017,11,7
2017-11-08,Missed Garbage Pickup,88,1,2017,11,8
2017-11-08,Container Problem,73,2,2017,11,8
2017-11-08,Sewer Wastewater,73,3,2017,11,8
2017-11-09,Container Problem,84,1,2017,11,9
2017-11-09,Missed Garbage Pickup,79,2,2017,11,9
2017-11-09,Sewer Wastewater,72,3,2017,11,9
2017-11-10,Missed Garbage Pickup,109,1,2017,11,10
2017-11-10,Container Problem,87,2,2017,11,10
2017-11-10,Water Leak,51,3,2017,11,10
2017-11-11,Missed Garbage Pickup,41,1,2017,11,11
2017-11-11,Water Leak,31,2,2017,11,11
2017-11-11,Sewer Wastewater,31,3,2017,11,11
2017-11-12,Sewer Wastewater,28,1,2017,11,12
2017-11-12,Traffic Signal Maintenance,24,2,2017,11,12
2017-11-12,Water Leak,23,3,2017,11,12
2017-11-13,Container Problem,108,1,2017,11,13
2017-11-13,Missed Garbage Pickup,89,2,2017,11,13
2017-11-13,Sewer Wastewater,74,3,2017,11,13
2017-11-14,Missed Garbage Pickup,105,1,2017,11,14
2017-11-14,Container Problem,88,2,2017,11,14
2017-11-14,Water Leak,64,3,2017,11,14
2017-11-15,Missed Recycling Pickup,166,1,2017,11,15
2017-11-15,Missed Garbage Pickup,127,2,2017,11,15
2017-11-15,Water Leak,87,3,2017,11,15
2017-11-16,Container Problem,91,1,2017,11,16
2017-11-16,Water Leak,88,2,2017,11,16
2017-11-16,Missed Garbage Pickup,75,3,2017,11,16
2017-11-17,Missed Recycling Pickup,174,1,2017,11,17
2017-11-17,Missed Garbage Pickup,157,2,2017,11,17
2017-11-17,Sewer Wastewater,68,3,2017,11,17
2017-11-18,Missed Garbage Pickup,84,1,2017,11,18
2017-11-18,Missed Recycling Pickup,76,2,2017,11,18
2017-11-18,Sewer Wastewater,38,3,2017,11,18
2017-11-19,Sewer Wastewater,27,1,2017,11,19
2017-11-19,Water Leak,25,2,2017,11,19
2017-11-19,Traffic Signal Maintenance,23,3,2017,11,19
2017-11-20,Missed Garbage Pickup,98,1,2017,11,20
2017-11-20,Missed Recycling Pickup,98,2,2017,11,20
2017-11-20,Container Problem,81,3,2017,11,20
2017-11-21,Missed Recycling Pickup,249,1,2017,11,21
2017-11-21,Missed Garbage Pickup,165,2,2017,11,21
2017-11-21,Container Problem,92,3,2017,11,21
2017-11-22,Missed Garbage Pickup,122,1,2017,11,22
2017-11-22,Missed Recycling Pickup,100,2,2017,11,22
2017-11-22,Water Leak,62,3,2017,11,22
2017-11-23,Sewer Wastewater,32,1,2017,11,23
2017-11-23,Water Leak,31,2,2017,11,23
2017-11-23,Traffic Signal Maintenance,23,3,2017,11,23
2017-11-24,Missed Garbage Pickup,73,1,2017,11,24
2017-11-24,Water Leak,60,2,2017,11,24
2017-11-24,Sewer Wastewater,56,3,2017,11,24
2017-11-25,Missed Garbage Pickup,113,1,2017,11,25
2017-11-25,Missed Recycling Pickup,74,2,2017,11,25
2017-11-25,Sewer Wastewater,40,3,2017,11,25
2017-11-26,Missed Recycling Pickup,66,1,2017,11,26
2017-11-26,Water Leak,58,2,2017,11,26
2017-11-26,Missed Garbage Pickup,51,3,2017,11,26
2017-11-27,Container Problem,127,1,2017,11,27
2017-11-27,Missed Garbage Pickup,122,2,2017,11,27
2017-11-27,Sewer Wastewater,103,3,2017,11,27
2017-11-28,Missed Garbage Pickup,171,1,2017,11,28
2017-11-28,Container Problem,122,2,2017,11,28
2017-11-28,Water Leak,121,3,2017,11,28
2017-11-29,Missed Recycling Pickup,120,1,2017,11,29
2017-11-29,Missed Garbage Pickup,109,2,2017,11,29
2017-11-29,Water Leak,100,3,2017,11,29
2017-11-30,Water Leak,107,1,2017,11,30
2017-11-30,Container Problem,97,2,2017,11,30
2017-11-30,Missed Garbage Pickup,84,3,2017,11,30
2017-12-01,Water Leak,111,1,2017,12,1
2017-12-01,Container Problem,109,2,2017,12,1
2017-12-01,Missed Garbage Pickup,102,3,2017,12,1
2017-12-02,Traffic Signs,67,1,2017,12,2
2017-12-02,Sewer Wastewater,44,2,2017,12,2
2017-12-02,Water Leak,34,3,2017,12,2
2017-12-03,Traffic Signals,40,1,2017,12,3
2017-12-03,Traffic Signal Maintenance,39,2,2017,12,3
2017-12-03,Water Leak,31,3,2017,12,3
2017-12-04,Container Problem,147,1,2017,12,4
2017-12-04,Water Leak,105,2,2017,12,4
2017-12-04,Sewer Wastewater,101,3,2017,12,4
2017-12-05,Missed Garbage Pickup,154,1,2017,12,5
2017-12-05,Container Problem,114,2,2017,12,5
2017-12-05,Missed Recycling Pickup,78,3,2017,12,5
2017-12-06,Missed Garbage Pickup,95,1,2017,12,6
2017-12-06,Container Problem,74,2,2017,12,6
2017-12-06,Sewer Wastewater,55,3,2017,12,6
2017-12-07,Traffic Signal Maintenance,73,1,2017,12,7
2017-12-07,Container Problem,70,2,2017,12,7
